,测量值,温度,湿度,实际值
56,0.64334471,0.805626598,0,0.281609195
57,0.237201365,0.04859335,0.896984925,0.624521073
58,0.221843003,0.406649616,0.376884422,0.256704981
59,0.249146758,0.560102302,0.253768844,0.250957854
60,0.259385666,0.452685422,0.484924623,0.275862069
61,0.33105802,0.554987212,0.296482412,0.300766284
62,0.192832765,0.281329923,0.565326633,0.283524904
63,0.196245734,0.409207161,0.379396985,0.210727969
64,0.167235495,0.31202046,0.56281407,0.208812261
65,0.075085324,0.181585678,0.703517588,0.16091954
66,0,0.191815857,0.625628141,0.078544061
67,0.433447099,0.841432225,0.113065327,0.270114943
68,0.305460751,0.176470588,0.680904523,0.45210728
69,0.23890785,0.381074169,0.592964824,0.32183908
70,0.058020478,0.056265985,0.954773869,0.222222222
71,0.163822526,0.493606138,0.399497487,0.185823755
72,0.0221843,0.081841432,0.952261307,0.17816092
73,0.001706485,0.358056266,0.623115578,0.019157088
74,0.390784983,0.813299233,0.015075377,0.250957854
75,0.221843003,0.028132992,0.773869347,0.394636015
76,0.112627986,0.199488491,0.703517588,0.218390805
77,0.001706485,0.31713555,0.56281407,0.036398467
78,0.250853242,0.626598465,0.278894472,0.220306513
79,0.223549488,0.281329923,0.600502513,0.270114943
80,0.023890785,0.056265985,1,0.245210728
81,0.257679181,0.849104859,0.100502513,0.141762452
82,0.242320819,0.401534527,0.452261307,0.281609195
83,0.295221843,0.624040921,0.286432161,0.279693487
84,0.431740614,0.670076726,0.16080402,0.356321839
85,0.250853242,0.002557545,0.841708543,0.438697318
86,0.240614334,0.41943734,0.477386935,0.272030651
87,0.250853242,0.416879795,0.391959799,0.266283525
88,0.245733788,0.421994885,0.381909548,0.27394636
89,0.244027304,0.401534527,0.391959799,0.270114943
90,0.262798635,0.452685422,0.494974874,0.272030651
91,0.257679181,0.401534527,0.459798995,0.287356322
92,0.228668942,0.329923274,0.497487437,0.277777778
93,0.240614334,0.445012788,0.376884422,0.252873563
94,0.244027304,0.452685422,0.386934673,0.264367816
95,0.291808874,0.606138107,0.304020101,0.279693487
96,0.105802048,0.043478261,0.766331658,0.279693487
97,0.029010239,0.342710997,0.615577889,0.095785441
98,0.044368601,0.115089514,0.801507538,0.206896552
99,0,0.314578005,0.623115578,0.044061303
100,0.010238908,0.406649616,0.427135678,0
101,0.011945392,0.503836317,0.384422111,0.005747126
102,0,0.265984655,0.615577889,0.019157088
103,0.295221843,0.611253197,0.296482412,0.283524904
104,0.279863481,0.480818414,0.409547739,0.32183908
105,0.216723549,0.355498721,0.615577889,0.295019157
106,0.197952218,0.457800512,0.407035176,0.233716475
107,0.020477816,0.056265985,0.992462312,0.216475096
108,0.088737201,0.181585678,0.680904523,0.174329502
109,0.100682594,0.493606138,0.432160804,0.097701149
110,0.051194539,0.350383632,0.527638191,0.095785441
111,0.146757679,0.631713555,0.278894472,0.126436782
112,0.317406143,1,0.055276382,0.197318008
113,0.278156997,0.309462916,0.600502513,0.340996169
114,0.293515358,0.406649616,0.381909548,0.310344828
115,0.73890785,0.966751918,0.007537688,0.394636015
116,1,0.956521739,0.06281407,0.883141762
117,0.479522184,0.074168798,0.763819095,1
118,0.284982935,0.035805627,0.912060302,0.488505747
119,0.19112628,0.148337596,0.668341709,0.293103448
120,0.145051195,0.265984655,0.570351759,0.199233716
121,0.056313993,0.237851662,0.726130653,0.136015326
122,0.020477816,0.352941176,0.565326633,0.049808429
123,0.042662116,0.598465473,0.35678392,0.021072797
124,0.034129693,0.416879795,0.447236181,0.040229885
125,0.093856655,0.613810742,0.251256281,0.045977011
126,0.138225256,0.562659847,0.349246231,0.109195402
127,0.138225256,0.437340153,0.467336683,0.149425287
128,0.100682594,0.281329923,0.618090452,0.139846743
129,0.126279863,0.547314578,0.336683417,0.11302682
130,0.126279863,0.462915601,0.40201005,0.136015326
131,0.039249147,0.235294118,0.72361809,0.116858238
132,0.163822526,0.754475703,0.201005025,0.067049808
133,0.233788396,0.598465473,0.364321608,0.19348659
134,0.146757679,0.15601023,0.746231156,0.237547893
135,0.06996587,0.319693095,0.582914573,0.141762452
136,0.088737201,0.493606138,0.389447236,0.076628352
137,0.252559727,0.808184143,0.002512563,0.130268199
138,0.196245734,0.375959079,0.547738693,0.264367816
139,0.247440273,0.375959079,0.520100503,0.296934866
140,0.312286689,0.611253197,0.278894472,0.285440613
141,0.373720137,0.58056266,0.25879397,0.358237548
142,0.339590444,0.322250639,0.56281407,0.406130268
143,0.266211604,0.324808184,0.603015075,0.358237548
144,0.284982935,0.381074169,0.439698492,0.296934866
145,0.244027304,0.260869565,0.620603015,0.304597701
146,0.259385666,0.429667519,0.464824121,0.272030651
147,0.271331058,0.41943734,0.412060302,0.289272031
148,0.244027304,0.319693095,0.547738693,0.291187739
149,0.225255973,0.462915601,0.386934673,0.264367816
150,0.233788396,0.452685422,0.399497487,0.249042146
151,0.097269625,0.15601023,0.653266332,0.22605364
152,0.054607509,0.301790281,0.525125628,0.093869732
153,0.088737201,0.562659847,0.334170854,0.063218391
154,0.232081911,0.754475703,0.165829146,0.124521073
155,0.059726962,0.076726343,0.997487437,0.216475096
156,0.008532423,0.191815857,0.706030151,0.116858238
157,0.013651877,0.404092072,0.409547739,0.003831418
158,0.083617747,0.386189258,0.386934673,0.090038314
159,0.254266212,0.063938619,0.91959799,0.745210728
160,0.266211604,0.455242967,0.449748744,0.281609195
161,0.284982935,0.496163683,0.464824121,0.296934866
162,0.259385666,0.276214834,0.540201005,0.308429119
163,0.223549488,0.255754476,0.547738693,0.277777778
164,0.080204778,0.186700767,0.675879397,0.212643678
165,0.005119454,0.173913043,0.703517588,0.084291188
166,0.001706485,0.414322251,0.424623116,0
167,0.220136519,0.52173913,0.354271357,0.164750958
168,0.167235495,0.296675192,0.497487437,0.227969349
169,0.0221843,0.089514066,0.914572864,0.181992337
170,0.005119454,0.457800512,0.489949749,0.01532567
171,0.018771331,0.47826087,0.399497487,0.028735632
172,0.240614334,0.606138107,0.283919598,0.243295019
173,0.26109215,0.598465473,0.316582915,0.268199234
174,0.233788396,0.265984655,0.608040201,0.281609195
175,0.237201365,0.503836317,0.427135678,0.256704981
176,0.312286689,0.549872123,0.273869347,0.277777778
177,0.250853242,0.319693095,0.610552764,0.331417625
178,0.245733788,0.434782609,0.379396985,0.27394636
179,0.209897611,0.301790281,0.535175879,0.262452107
180,0.223549488,0.455242967,0.424623116,0.233716475
181,0.196245734,0.299232737,0.608040201,0.239463602
182,0.228668942,0.539641944,0.288944724,0.220306513
183,0.291808874,0.585677749,0.366834171,0.264367816
184,0.034129693,0.061381074,0.761306533,0.32183908
185,0.174061433,0.710997442,0.175879397,0.107279693
186,0.175767918,0.496163683,0.429648241,0.189655172
187,0.276450512,0.751918159,0.123115578,0.214559387
188,0.242320819,0.327365729,0.532663317,0.296934866
189,0.186006826,0.306905371,0.520100503,0.252873563
190,0.21331058,0.537084399,0.366834171,0.208812261
191,0.192832765,0.306905371,0.560301508,0.229885057
192,0.064846416,0.230179028,0.726130653,0.181992337
193,0.015358362,0.327365729,0.525125628,0.055555556
194,0.283276451,0.698209719,0.231155779,0.203065134
195,0.233788396,0.268542199,0.5,0.300766284
196,0.232081911,0.450127877,0.374371859,0.256704981
197,0.194539249,0.342710997,0.532663317,0.245210728
198,0.204778157,0.437340153,0.374371859,0.214559387
199,0.290102389,0.508951407,0.293969849,0.243295019
200,0.313993174,0.583120205,0.346733668,0.325670498
201,0.30887372,0.427109974,0.394472362,0.346743295
202,0.293515358,0.271099744,0.595477387,0.392720307
203,0.296928328,0.396419437,0.394472362,0.323754789
204,0.383959044,0.685421995,0.148241206,0.346743295
205,0.358361775,0.324808184,0.5,0.41954023
206,0.363481229,0.470588235,0.449748744,0.396551724
207,0.293515358,0.335038363,0.59798995,0.38697318
208,0.310580205,0.47826087,0.474874372,0.327586207
209,0.302047782,0.452685422,0.469849246,0.340996169
210,0.28668942,0.498721228,0.487437186,0.329501916
211,0.240614334,0.294117647,0.605527638,0.304597701
212,0.254266212,0.429667519,0.43718593,0.268199234
213,0.361774744,0.713554987,0.168341709,0.302681992
214,0.267918089,0.138107417,0.650753769,0.379310345
215,0.264505119,0.434782609,0.429648241,0.293103448
216,0.23890785,0.286445013,0.505025126,0.285440613
217,0.223549488,0.457800512,0.459798995,0.260536398
218,0.291808874,0.595907928,0.256281407,0.260536398
219,0.232081911,0.363171355,0.505025126,0.308429119
220,0.237201365,0.414322251,0.472361809,0.256704981
221,0.04778157,0.115089514,0.992462312,0.260536398
222,0.235494881,0.42455243,0.394472362,0.243295019
223,0.23890785,0.406649616,0.417085427,0.25862069
224,0.139931741,0.253196931,0.748743719,0.239463602
225,0.011945392,0.166240409,0.658291457,0.116858238
226,0.020477816,0.493606138,0.394472362,0.009578544
227,0.380546075,0.685421995,0.216080402,0.302681992
228,0.464163823,0.62915601,0.314070352,0.440613027
229,0.020477816,0.030690537,0.834170854,0.199233716
230,0.19112628,0.41943734,0.477386935,0.206896552
231,0.184300341,0.398976982,0.374371859,0.206896552
232,0.07337884,0.199488491,0.645728643,0.176245211
233,0.146757679,0.626598465,0.273869347,0.093869732
234,0.255972696,0.726342711,0.226130653,0.183908046
235,0.218430034,0.626598465,0.326633166,0.206896552
236,0.208191126,0.383631714,0.384422111,0.237547893
237,0.221843003,0.406649616,0.449748744,0.231800766
238,0.252559727,0.557544757,0.366834171,0.250957854
239,0.267918089,0.383631714,0.489949749,0.279693487
240,0.264505119,0.442455243,0.381909548,0.293103448
241,0.232081911,0.286445013,0.535175879,0.283524904
242,0.250853242,0.470588235,0.472361809,0.25862069
243,0.194539249,0.301790281,0.555276382,0.262452107
244,0.225255973,0.6342711,0.314070352,0.220306513
245,0.245733788,0.475703325,0.464824121,0.250957854
246,0.126279863,0.225063939,0.693467337,0.243295019
247,0.254266212,0.677749361,0.173366834,0.164750958
248,0.218430034,0.25831202,0.603015075,0.272030651
249,0.150170648,0.304347826,0.572864322,0.224137931
250,0.170648464,0.488491049,0.374371859,0.166666667
251,0.296928328,0.68286445,0.203517588,0.22605364
252,0.271331058,0.319693095,0.582914573,0.32183908
253,0.235494881,0.329923274,0.527638191,0.291187739
254,0.199658703,0.58056266,0.246231156,0.187739464
255,0.225255973,0.621483376,0.27638191,0.224137931
256,0.230375427,0.398976982,0.40201005,0.247126437
257,0.172354949,0.62915601,0.283919598,0.151340996
258,0.209897611,0.606138107,0.33919598,0.195402299
259,0.324232082,0.675191816,0.155778894,0.256704981
260,0.247440273,0.278772379,0.610552764,0.312260536
261,0.28668942,0.567774936,0.301507538,0.279693487
262,0.271331058,0.483375959,0.439698492,0.312260536
263,0.28668942,0.432225064,0.389447236,0.302681992
264,0.269624573,0.406649616,0.381909548,0.312260536
265,0.249146758,0.429667519,0.407035176,0.291187739
266,0.281569966,0.508951407,0.331658291,0.281609195
267,0.255972696,0.340153453,0.572864322,0.304597701
268,0.23890785,0.450127877,0.472361809,0.277777778
269,0.255972696,0.386189258,0.414572864,0.266283525
270,0.271331058,0.396419437,0.379396985,0.285440613
271,0.284982935,0.442455243,0.464824121,0.302681992
272,0.244027304,0.281329923,0.535175879,0.304597701
